epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
148,3649.28,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000128725,0.000128725,0.000128725
149,3673.66,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0001279,0.0001279,0.0001279
150,3698.04,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000127075,0.000127075,0.000127075
151,3722.42,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00012625,0.00012625,0.00012625
152,3746.82,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000125425,0.000125425,0.000125425
153,3771.2,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0001246,0.0001246,0.0001246
154,3795.6,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000123775,0.000123775,0.000123775
155,3819.98,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00012295,0.00012295,0.00012295
156,3844.38,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000122125,0.000122125,0.000122125
157,3868.76,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0001213,0.0001213,0.0001213
158,3893.14,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000120475,0.000120475,0.000120475
159,3917.55,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00011965,0.00011965,0.00011965
160,3941.95,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000118825,0.000118825,0.000118825
161,3966.32,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000118,0.000118,0.000118
162,3990.7,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000117175,0.000117175,0.000117175
163,4015.08,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00011635,0.00011635,0.00011635
164,4039.47,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000115525,0.000115525,0.000115525
165,4063.85,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0001147,0.0001147,0.0001147
166,4088.23,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000113875,0.000113875,0.000113875
167,4112.61,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00011305,0.00011305,0.00011305
168,4137.01,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000112225,0.000112225,0.000112225
169,4161.4,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0001114,0.0001114,0.0001114
170,4185.8,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000110575,0.000110575,0.000110575
171,4210.18,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00010975,0.00010975,0.00010975
172,4234.59,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000108925,0.000108925,0.000108925
173,4258.97,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0001081,0.0001081,0.0001081
174,4283.35,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000107275,0.000107275,0.000107275
175,4307.75,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00010645,0.00010645,0.00010645
176,4332.13,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000105625,0.000105625,0.000105625
177,4356.53,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0001048,0.0001048,0.0001048
178,4380.91,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000103975,0.000103975,0.000103975
179,4405.3,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00010315,0.00010315,0.00010315
180,4429.71,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000102325,0.000102325,0.000102325
181,4454.1,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0001015,0.0001015,0.0001015
182,4478.49,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000100675,0.000100675,0.000100675
183,4502.88,nan,nan,nan,0,0,0,0,nan,nan,nan,9.985e-05,9.985e-05,9.985e-05
184,4527.28,nan,nan,nan,0,0,0,0,nan,nan,nan,9.9025e-05,9.9025e-05,9.9025e-05
185,4551.67,nan,nan,nan,0,0,0,0,nan,nan,nan,9.82e-05,9.82e-05,9.82e-05
186,4576.07,nan,nan,nan,0,0,0,0,nan,nan,nan,9.7375e-05,9.7375e-05,9.7375e-05
187,4600.46,nan,nan,nan,0,0,0,0,nan,nan,nan,9.655e-05,9.655e-05,9.655e-05
188,4624.85,nan,nan,nan,0,0,0,0,nan,nan,nan,9.5725e-05,9.5725e-05,9.5725e-05
189,4649.25,nan,nan,nan,0,0,0,0,nan,nan,nan,9.49e-05,9.49e-05,9.49e-05
190,4673.64,nan,nan,nan,0,0,0,0,nan,nan,nan,9.4075e-05,9.4075e-05,9.4075e-05
191,4698.02,nan,nan,nan,0,0,0,0,nan,nan,nan,9.325e-05,9.325e-05,9.325e-05
192,4722.43,nan,nan,nan,0,0,0,0,nan,nan,nan,9.2425e-05,9.2425e-05,9.2425e-05
193,4746.8,nan,nan,nan,0,0,0,0,nan,nan,nan,9.16e-05,9.16e-05,9.16e-05
194,4771.19,nan,nan,nan,0,0,0,0,nan,nan,nan,9.0775e-05,9.0775e-05,9.0775e-05
195,4795.58,nan,nan,nan,0,0,0,0,nan,nan,nan,8.995e-05,8.995e-05,8.995e-05
196,4819.99,nan,nan,nan,0,0,0,0,nan,nan,nan,8.9125e-05,8.9125e-05,8.9125e-05
197,4844.37,nan,nan,nan,0,0,0,0,nan,nan,nan,8.83e-05,8.83e-05,8.83e-05
198,4868.76,nan,nan,nan,0,0,0,0,nan,nan,nan,8.7475e-05,8.7475e-05,8.7475e-05
199,4893.14,nan,nan,nan,0,0,0,0,nan,nan,nan,8.665e-05,8.665e-05,8.665e-05
200,4917.55,nan,nan,nan,0,0,0,0,nan,nan,nan,8.5825e-05,8.5825e-05,8.5825e-05
201,4941.93,nan,nan,nan,0,0,0,0,nan,nan,nan,8.5e-05,8.5e-05,8.5e-05
202,4966.32,nan,nan,nan,0,0,0,0,nan,nan,nan,8.4175e-05,8.4175e-05,8.4175e-05
203,4990.7,nan,nan,nan,0,0,0,0,nan,nan,nan,8.335e-05,8.335e-05,8.335e-05
204,5015.1,nan,nan,nan,0,0,0,0,nan,nan,nan,8.2525e-05,8.2525e-05,8.2525e-05
205,5039.49,nan,nan,nan,0,0,0,0,nan,nan,nan,8.17e-05,8.17e-05,8.17e-05
206,5063.88,nan,nan,nan,0,0,0,0,nan,nan,nan,8.0875e-05,8.0875e-05,8.0875e-05
207,5088.26,nan,nan,nan,0,0,0,0,nan,nan,nan,8.005e-05,8.005e-05,8.005e-05
208,5112.65,nan,nan,nan,0,0,0,0,nan,nan,nan,7.9225e-05,7.9225e-05,7.9225e-05
209,5137.03,nan,nan,nan,0,0,0,0,nan,nan,nan,7.84e-05,7.84e-05,7.84e-05
210,5161.42,nan,nan,nan,0,0,0,0,nan,nan,nan,7.7575e-05,7.7575e-05,7.7575e-05
211,5185.8,nan,nan,nan,0,0,0,0,nan,nan,nan,7.675e-05,7.675e-05,7.675e-05
212,5210.19,nan,nan,nan,0,0,0,0,nan,nan,nan,7.5925e-05,7.5925e-05,7.5925e-05
213,5234.59,nan,nan,nan,0,0,0,0,nan,nan,nan,7.51e-05,7.51e-05,7.51e-05
214,5258.98,nan,nan,nan,0,0,0,0,nan,nan,nan,7.4275e-05,7.4275e-05,7.4275e-05
215,5283.36,nan,nan,nan,0,0,0,0,nan,nan,nan,7.345e-05,7.345e-05,7.345e-05
216,5307.76,nan,nan,nan,0,0,0,0,nan,nan,nan,7.2625e-05,7.2625e-05,7.2625e-05
217,5332.15,nan,nan,nan,0,0,0,0,nan,nan,nan,7.18e-05,7.18e-05,7.18e-05
218,5356.53,nan,nan,nan,0,0,0,0,nan,nan,nan,7.0975e-05,7.0975e-05,7.0975e-05
219,5380.92,nan,nan,nan,0,0,0,0,nan,nan,nan,7.015e-05,7.015e-05,7.015e-05
220,5405.34,nan,nan,nan,0,0,0,0,nan,nan,nan,6.9325e-05,6.9325e-05,6.9325e-05
221,5429.72,nan,nan,nan,0,0,0,0,nan,nan,nan,6.85e-05,6.85e-05,6.85e-05
222,5454.1,nan,nan,nan,0,0,0,0,nan,nan,nan,6.7675e-05,6.7675e-05,6.7675e-05
223,5478.48,nan,nan,nan,0,0,0,0,nan,nan,nan,6.685e-05,6.685e-05,6.685e-05
224,5502.9,nan,nan,nan,0,0,0,0,nan,nan,nan,6.6025e-05,6.6025e-05,6.6025e-05
225,5527.29,nan,nan,nan,0,0,0,0,nan,nan,nan,6.52e-05,6.52e-05,6.52e-05
226,5551.68,nan,nan,nan,0,0,0,0,nan,nan,nan,6.4375e-05,6.4375e-05,6.4375e-05
227,5576.06,nan,nan,nan,0,0,0,0,nan,nan,nan,6.355e-05,6.355e-05,6.355e-05
228,5600.46,nan,nan,nan,0,0,0,0,nan,nan,nan,6.2725e-05,6.2725e-05,6.2725e-05
229,5624.85,nan,nan,nan,0,0,0,0,nan,nan,nan,6.19e-05,6.19e-05,6.19e-05
230,5649.24,nan,nan,nan,0,0,0,0,nan,nan,nan,6.1075e-05,6.1075e-05,6.1075e-05
231,5673.63,nan,nan,nan,0,0,0,0,nan,nan,nan,6.025e-05,6.025e-05,6.025e-05
232,5698.03,nan,nan,nan,0,0,0,0,nan,nan,nan,5.9425e-05,5.9425e-05,5.9425e-05
233,5722.4,nan,nan,nan,0,0,0,0,nan,nan,nan,5.86e-05,5.86e-05,5.86e-05
234,5746.79,nan,nan,nan,0,0,0,0,nan,nan,nan,5.7775e-05,5.7775e-05,5.7775e-05
235,5771.19,nan,nan,nan,0,0,0,0,nan,nan,nan,5.695e-05,5.695e-05,5.695e-05
236,5795.61,nan,nan,nan,0,0,0,0,nan,nan,nan,5.6125e-05,5.6125e-05,5.6125e-05
237,5820,nan,nan,nan,0,0,0,0,nan,nan,nan,5.53e-05,5.53e-05,5.53e-05
238,5844.59,nan,nan,nan,0,0,0,0,nan,nan,nan,5.4475e-05,5.4475e-05,5.4475e-05
239,5869.46,nan,nan,nan,0,0,0,0,nan,nan,nan,5.365e-05,5.365e-05,5.365e-05
240,5893.98,nan,nan,nan,0,0,0,0,nan,nan,nan,5.2825e-05,5.2825e-05,5.2825e-05
241,5918.52,nan,nan,nan,0,0,0,0,nan,nan,nan,5.2e-05,5.2e-05,5.2e-05
242,5943.06,nan,nan,nan,0,0,0,0,nan,nan,nan,5.1175e-05,5.1175e-05,5.1175e-05
243,5967.65,nan,nan,nan,0,0,0,0,nan,nan,nan,5.035e-05,5.035e-05,5.035e-05
244,5992.16,nan,nan,nan,0,0,0,0,nan,nan,nan,4.9525e-05,4.9525e-05,4.9525e-05
245,6016.7,nan,nan,nan,0,0,0,0,nan,nan,nan,4.87e-05,4.87e-05,4.87e-05
246,6041.2,nan,nan,nan,0,0,0,0,nan,nan,nan,4.7875e-05,4.7875e-05,4.7875e-05
247,6065.7,nan,nan,nan,0,0,0,0,nan,nan,nan,4.705e-05,4.705e-05,4.705e-05
248,6090.35,nan,nan,nan,0,0,0,0,nan,nan,nan,4.6225e-05,4.6225e-05,4.6225e-05
249,6114.92,nan,nan,nan,0,0,0,0,nan,nan,nan,4.54e-05,4.54e-05,4.54e-05
250,6139.85,nan,nan,nan,0,0,0,0,nan,nan,nan,4.4575e-05,4.4575e-05,4.4575e-05
251,6164.45,nan,nan,nan,0,0,0,0,nan,nan,nan,4.375e-05,4.375e-05,4.375e-05
252,6188.97,nan,nan,nan,0,0,0,0,nan,nan,nan,4.2925e-05,4.2925e-05,4.2925e-05
253,6213.45,nan,nan,nan,0,0,0,0,nan,nan,nan,4.21e-05,4.21e-05,4.21e-05
254,6237.9,nan,nan,nan,0,0,0,0,nan,nan,nan,4.1275e-05,4.1275e-05,4.1275e-05
255,6262.37,nan,nan,nan,0,0,0,0,nan,nan,nan,4.045e-05,4.045e-05,4.045e-05
256,6286.88,nan,nan,nan,0,0,0,0,nan,nan,nan,3.9625e-05,3.9625e-05,3.9625e-05
257,6311.37,nan,nan,nan,0,0,0,0,nan,nan,nan,3.88e-05,3.88e-05,3.88e-05
258,6335.84,nan,nan,nan,0,0,0,0,nan,nan,nan,3.7975e-05,3.7975e-05,3.7975e-05
259,6360.3,nan,nan,nan,0,0,0,0,nan,nan,nan,3.715e-05,3.715e-05,3.715e-05
260,6384.79,nan,nan,nan,0,0,0,0,nan,nan,nan,3.6325e-05,3.6325e-05,3.6325e-05
261,6409.26,nan,nan,nan,0,0,0,0,nan,nan,nan,3.55e-05,3.55e-05,3.55e-05
262,6433.73,nan,nan,nan,0,0,0,0,nan,nan,nan,3.4675e-05,3.4675e-05,3.4675e-05
263,6458.21,nan,nan,nan,0,0,0,0,nan,nan,nan,3.385e-05,3.385e-05,3.385e-05
264,6482.69,nan,nan,nan,0,0,0,0,nan,nan,nan,3.3025e-05,3.3025e-05,3.3025e-05
265,6507.16,nan,nan,nan,0,0,0,0,nan,nan,nan,3.22e-05,3.22e-05,3.22e-05
266,6531.68,nan,nan,nan,0,0,0,0,nan,nan,nan,3.1375e-05,3.1375e-05,3.1375e-05
267,6556.12,nan,nan,nan,0,0,0,0,nan,nan,nan,3.055e-05,3.055e-05,3.055e-05
268,6580.59,nan,nan,nan,0,0,0,0,nan,nan,nan,2.9725e-05,2.9725e-05,2.9725e-05
269,6605.03,nan,nan,nan,0,0,0,0,nan,nan,nan,2.89e-05,2.89e-05,2.89e-05
270,6629.47,nan,nan,nan,0,0,0,0,nan,nan,nan,2.8075e-05,2.8075e-05,2.8075e-05
271,6653.98,nan,nan,nan,0,0,0,0,nan,nan,nan,2.725e-05,2.725e-05,2.725e-05
272,6678.57,nan,nan,nan,0,0,0,0,nan,nan,nan,2.6425e-05,2.6425e-05,2.6425e-05
273,6703.03,nan,nan,nan,0,0,0,0,nan,nan,nan,2.56e-05,2.56e-05,2.56e-05
274,6727.49,nan,nan,nan,0,0,0,0,nan,nan,nan,2.4775e-05,2.4775e-05,2.4775e-05
275,6751.96,nan,nan,nan,0,0,0,0,nan,nan,nan,2.395e-05,2.395e-05,2.395e-05
276,6776.45,nan,nan,nan,0,0,0,0,nan,nan,nan,2.3125e-05,2.3125e-05,2.3125e-05
277,6800.94,nan,nan,nan,0,0,0,0,nan,nan,nan,2.23e-05,2.23e-05,2.23e-05
278,6825.44,nan,nan,nan,0,0,0,0,nan,nan,nan,2.1475e-05,2.1475e-05,2.1475e-05
279,6849.92,nan,nan,nan,0,0,0,0,nan,nan,nan,2.065e-05,2.065e-05,2.065e-05
280,6874.65,nan,nan,nan,0,0,0,0,nan,nan,nan,1.9825e-05,1.9825e-05,1.9825e-05
281,6899.38,nan,nan,nan,0,0,0,0,nan,nan,nan,1.9e-05,1.9e-05,1.9e-05
282,6923.89,nan,nan,nan,0,0,0,0,nan,nan,nan,1.8175e-05,1.8175e-05,1.8175e-05
283,6948.42,nan,nan,nan,0,0,0,0,nan,nan,nan,1.735e-05,1.735e-05,1.735e-05
284,6972.96,nan,nan,nan,0,0,0,0,nan,nan,nan,1.6525e-05,1.6525e-05,1.6525e-05
285,6997.43,nan,nan,nan,0,0,0,0,nan,nan,nan,1.57e-05,1.57e-05,1.57e-05
286,7021.93,nan,nan,nan,0,0,0,0,nan,nan,nan,1.4875e-05,1.4875e-05,1.4875e-05
287,7046.37,nan,nan,nan,0,0,0,0,nan,nan,nan,1.405e-05,1.405e-05,1.405e-05
288,7070.95,nan,nan,nan,0,0,0,0,nan,nan,nan,1.3225e-05,1.3225e-05,1.3225e-05
289,7095.55,nan,nan,nan,0,0,0,0,nan,nan,nan,1.24e-05,1.24e-05,1.24e-05
290,7120.03,nan,nan,nan,0,0,0,0,nan,nan,nan,1.1575e-05,1.1575e-05,1.1575e-05
291,7144.81,nan,nan,nan,0,0,0,0,nan,nan,nan,1.075e-05,1.075e-05,1.075e-05
292,7169.07,nan,nan,nan,0,0,0,0,nan,nan,nan,9.925e-06,9.925e-06,9.925e-06
293,7193.29,nan,nan,nan,0,0,0,0,nan,nan,nan,9.1e-06,9.1e-06,9.1e-06
294,7217.5,nan,nan,nan,0,0,0,0,nan,nan,nan,8.275e-06,8.275e-06,8.275e-06
295,7241.72,nan,nan,nan,0,0,0,0,nan,nan,nan,7.45e-06,7.45e-06,7.45e-06
296,7266.03,nan,nan,nan,0,0,0,0,nan,nan,nan,6.625e-06,6.625e-06,6.625e-06
297,7290.28,nan,nan,nan,0,0,0,0,nan,nan,nan,5.8e-06,5.8e-06,5.8e-06
298,7314.53,nan,nan,nan,0,0,0,0,nan,nan,nan,4.975e-06,4.975e-06,4.975e-06
299,7338.79,nan,nan,nan,0,0,0,0,nan,nan,nan,4.15e-06,4.15e-06,4.15e-06
300,7363.07,nan,nan,nan,0,0,0,0,nan,nan,nan,3.325e-06,3.325e-06,3.325e-06
